,TIME_CONTRAL_A,TIME_CONTRAL_B,STEPS,TERMINATION,GAME_LENGTH,GAME_TYPE
156,600.0,5.0,69,1,433.0,1
157,600.0,0.0,25,1,267.0,1
158,60.0,0.0,34,0,58.0,3
159,120.0,0.0,35,1,93.0,3
160,60.0,0.0,28,1,40.0,3
161,60.0,0.0,26,0,40.0,3
162,600.0,0.0,19,1,73.0,1
163,60.0,0.0,27,0,59.0,3
164,336.81176168464305,1.6013525081321691,40,1,0.0,3
165,900.0,5.0,13,1,19.0,1
166,180.0,0.0,30,0,174.0,2
167,300.0,4.0,27,1,109.0,2
168,420.0,5.0,27,1,143.0,1
169,120.0,1.0,41,0,117.0,3
170,45.0,0.0,41,0,44.0,3
171,1500.0,5.0,17,1,241.0,1
172,180.0,3.0,48,1,161.0,2
173,180.0,0.0,40,1,138.0,2
174,180.0,0.0,39,1,146.0,2
175,300.0,0.0,24,1,74.0,2
176,900.0,10.0,19,1,359.0,1
177,180.0,0.0,37,1,174.0,2
178,180.0,1.0,14,1,25.0,2
179,300.0,3.0,25,0,294.0,2
180,300.0,0.0,56,0,217.0,2
181,60.0,11.0,59,1,134.0,1
182,600.0,0.0,14,1,140.0,1
183,300.0,0.0,27,1,294.0,2
184,30.0,1.0,27,0,29.0,3
185,300.0,0.0,59,1,276.0,2
186,180.0,2.0,40,1,124.0,2
187,60.0,0.0,35,1,42.0,3
188,420.0,12.0,23,1,40.0,1
189,30.0,0.0,23,0,29.0,3
190,900.0,0.0,18,1,198.0,1
191,600.0,0.0,34,0,295.0,1
192,180.0,0.0,34,1,139.0,2
193,120.0,1.0,32,0,119.0,3
194,600.0,0.0,51,1,569.0,1
195,60.0,0.0,20,1,37.0,3
196,600.0,0.0,30,1,289.0,1
197,60.0,0.0,26,0,26.0,3
198,120.0,1.0,39,0,80.0,3
199,600.0,0.0,26,1,392.0,1
200,720.0,0.0,32,0,300.0,1
201,900.0,15.0,19,1,45.0,1
202,180.0,0.0,35,0,166.0,2
203,120.0,1.0,45,0,115.0,3
204,600.0,0.0,7,0,34.0,1
205,600.0,0.0,31,1,209.0,1
206,600.0,0.0,24,1,167.0,1
207,90.0,2.0,25,1,45.0,3
208,180.0,0.0,8,1,40.0,2
209,300.0,3.0,70,1,68.0,2
210,420.0,0.0,15,1,194.0,2
211,300.0,0.0,32,1,168.0,2
212,45.0,3.0,19,1,16.0,3
213,120.0,0.0,23,0,119.0,3
214,180.0,0.0,31,1,132.0,2
215,60.0,0.0,36,0,52.0,3
216,60.0,0.0,25,1,44.0,3
217,60.0,0.0,53,0,59.0,3
218,60.0,5.0,35,1,52.0,2
219,120.0,1.0,18,1,36.0,3
220,60.0,0.0,31,0,55.0,3
221,300.0,0.0,41,1,255.0,2
222,60.0,0.0,45,0,59.0,3
223,900.0,15.0,46,1,79.0,1
224,300.0,0.0,21,1,221.0,2
225,300.0,3.0,30,1,264.0,2
226,300.0,4.0,27,1,41.0,2
227,300.0,3.0,27,1,56.0,2
228,600.0,0.0,66,1,474.0,1
229,600.0,5.0,27,1,366.0,1
230,300.0,0.0,23,0,291.0,2
231,180.0,0.0,59,0,179.0,2
232,60.0,0.0,41,0,60.0,3
233,180.0,0.0,35,1,144.0,2
234,900.0,0.0,17,1,78.0,1
235,120.0,1.0,29,1,45.0,3
236,660.0,5.0,24,1,89.0,1
237,336.81176168464305,1.6013525081321691,29,1,0.0,2
238,60.0,4.0,43,1,15.0,2
239,900.0,2.0,26,1,391.0,1
240,60.0,0.0,31,0,58.0,3
241,180.0,0.0,20,0,115.0,2
242,600.0,0.0,22,1,290.0,1
243,300.0,0.0,41,1,194.0,2
244,180.0,2.0,21,1,165.0,2
